index,YEAR,EMPLOYER_POSTAL_CODE,EMPLOYER_POSTAL_CODE_OCCURRENCE,EMPLOYER_POSTAL_CODE_OCCURRENCE_LOG,MAJOR_EMPLOYER_POSTAL_CODE_OCCURRENCE,MAJOR_EMPLOYER_POSTAL_CODE_OCCURRENCE_LOG
545,2020,10016,1305,32.156105116743,7,9.45098040014257
546,2020,10017,331,26.1982799377572,2,4.01029995663981
547,2020,10018,1182,31.7261747654524,10,11.0
548,2020,10027,126,22.0037054511756,2,4.01029995663981
549,2020,10029,302,25.8000694295715,2,4.01029995663981
550,2020,10036,2892,35.6119828862249,7,9.45098040014257
551,2020,10038,322,26.0785587169583,2,4.01029995663981
552,2020,10104,65,19.1291335664286,1,1.0
553,2020,10119,249,24.9619934709574,26,15.1497334797082
554,2020,10173,7,9.45098040014257,1,1.0
555,2020,10304,3,5.77121254719662,2,4.01029995663981
556,2020,10469,3,5.77121254719662,1,1.0
557,2020,10523,10,11.0,7,9.45098040014257
558,2020,10532,21,14.2221929473392,4,7.02059991327962
559,2020,10549,2,4.01029995663981,1,1.0
560,2020,10573,21,14.2221929473392,4,7.02059991327962
561,2020,10591,88,20.4448267215017,5,7.98970004336019
562,2020,10595,9,10.5424250943932,1,1.0
563,2020,10601,174,23.405492482826,22,14.4242268082221
564,2020,10604,13,12.1394335230684,6,8.78151250383644
565,2020,10606,7,9.45098040014257,4,7.02059991327962
566,2020,10701,4,7.02059991327962,2,4.01029995663981
567,2020,10913,1,1.0,1,1.0
568,2020,10977,18,13.5527250510331,8,10.0308998699194
569,2020,11001,30,15.7712125471966,12,11.7918124604763
570,2020,11021,40,17.0205999132796,2,4.01029995663981
571,2020,11040,12,11.7918124604763,1,1.0
572,2020,11050,43,17.3346845557959,4,7.02059991327962
573,2020,11101,130,22.1394335230684,1,1.0
574,2020,11222,10,11.0,2,4.01029995663981
575,2020,11232,45,17.5321251377534,5,7.98970004336019
576,2020,11235,22,14.4242268082221,6,8.78151250383644
577,2020,11355,82,20.1381385238372,2,4.01029995663981
578,2020,11377,14,12.4612803567824,3,5.77121254719662
579,2020,11385,7,9.45098040014257,2,4.01029995663981
580,2020,11557,3,5.77121254719662,2,4.01029995663981
581,2020,11590,6,8.78151250383644,1,1.0
582,2020,11716,14,12.4612803567824,2,4.01029995663981
583,2020,11717,1,1.0,1,1.0
584,2020,11729,7,9.45098040014257,1,1.0
585,2020,11735,5,7.98970004336019,2,4.01029995663981
586,2020,11741,9,10.5424250943932,3,5.77121254719662
587,2020,11747,93,20.6848294855393,2,4.01029995663981
588,2020,11749,3,5.77121254719662,1,1.0
589,2020,11753,5,7.98970004336019,1,1.0
590,2020,11779,24,14.8021124171161,2,4.01029995663981
591,2020,11780,2,4.01029995663981,1,1.0
592,2020,11788,155,22.9033169817029,5,7.98970004336019
593,2020,11803,22,14.4242268082221,1,1.0
594,2020,11973,26,15.1497334797082,3,5.77121254719662
595,2020,12072,1,1.0,1,1.0
596,2020,12144,21,14.2221929473392,8,10.0308998699194
597,2020,12180,15,12.7609125905568,1,1.0
598,2020,12204,7,9.45098040014257,1,1.0
599,2020,12309,63,18.9934054945358,28,15.4715803134222
600,2020,12912,3,5.77121254719662,3,5.77121254719662
601,2020,13045,56,18.481880270062,20,14.0102999566398
602,2020,13088,14,12.4612803567824,10,11.0
603,2020,13440,1,1.0,1,1.0
604,2020,13476,4,7.02059991327962,1,1.0
605,2020,13778,27,15.3136376415899,9,10.5424250943932
606,2020,13790,2,4.01029995663981,1,1.0
607,2020,14120,3,5.77121254719662,1,1.0
608,2020,14203,105,21.2118929906994,1,1.0
609,2020,14225,2,4.01029995663981,1,1.0
610,2020,14228,4,7.02059991327962,1,1.0
611,2020,14260,76,19.8081359228079,4,7.02059991327962
612,2020,14456,40,17.0205999132796,7,9.45098040014257
613,2020,14472,1,1.0,1,1.0
614,2020,14580,5,7.98970004336019,1,1.0
615,2020,14586,25,14.9794000867204,10,11.0
616,2020,14606,57,18.5587485567249,1,1.0
617,2020,14620,21,14.2221929473392,1,1.0
618,2020,14624,4,7.02059991327962,1,1.0
619,2020,14831,513,28.1011736511182,45,17.5321251377534
